loan_id,user_id,book_id,library_id,n_access,loan_date,due_date,return_date,returned_by
163,513,567,3,1,2021-03-01,2021-03-15,2021-03-09,user
164,183,296,2,2,2021-03-01,2021-03-15,2021-03-11,user
165,520,76,4,1,2021-03-01,2021-03-15,2021-03-12,user
166,109,396,6,1,2021-03-02,2021-03-16,2021-03-15,user
167,641,517,1,1,2021-03-02,2021-03-16,2021-03-12,user
168,306,462,6,2,2021-03-02,2021-03-16,2021-03-11,user
169,655,564,6,1,2021-03-03,2021-03-17,2021-03-13,user
170,520,287,5,2,2021-03-04,2021-03-18,2021-03-12,user
171,624,122,2,1,2021-03-05,2021-03-19,2021-03-19,user
172,204,132,6,2,2021-03-06,2021-03-20,2021-03-19,user
173,157,100,4,1,2021-03-06,2021-03-20,2021-03-15,user
174,383,404,2,2,2021-03-07,2021-03-21,2021-03-15,user
175,166,383,5,1,2021-03-07,2021-03-21,2021-03-16,user
176,553,348,6,1,2021-03-08,2021-03-22,2021-03-21,user
177,544,572,2,2,2021-03-08,2021-03-22,2021-03-19,user
178,1,375,3,2,2021-03-09,2021-03-23,2021-03-19,user
179,614,148,4,1,2021-03-10,2021-03-24,2021-03-18,user
180,332,204,6,2,2021-03-10,2021-03-24,2021-03-19,user
181,501,522,6,1,2021-03-10,2021-03-24,2021-03-24,user
182,20,412,4,1,2021-03-10,2021-03-24,2021-03-20,user
183,115,513,3,2,2021-03-11,2021-03-25,2021-03-23,user
184,372,42,6,2,2021-03-12,2021-03-26,2021-03-20,user
185,931,362,2,1,2021-03-12,2021-03-26,2021-03-22,user
186,315,47,5,1,2021-03-13,2021-03-27,2021-03-24,user
187,246,40,4,1,2021-03-14,2021-03-28,2021-03-28,user
188,60,141,3,1,2021-03-14,2021-03-28,2021-03-23,user
189,247,342,6,1,2021-03-15,2021-03-29,2021-03-23,user
190,581,486,6,2,2021-03-16,2021-03-30,2021-03-24,user
191,81,532,4,2,2021-03-17,2021-03-31,2021-03-29,user
192,88,468,6,2,2021-03-17,2021-03-31,2021-03-31,user
193,498,153,3,2,2021-03-18,2021-04-01,2021-03-31,user
194,71,528,6,1,2021-03-19,2021-04-02,2021-03-30,user
195,546,144,6,2,2021-03-20,2021-04-03,2021-04-02,user
196,129,336,6,2,2021-03-20,2021-04-03,2021-04-01,user
197,132,327,3,2,2021-03-21,2021-04-04,2021-03-30,user
198,676,167,5,2,2021-03-21,2021-04-04,2021-03-31,user
199,487,403,1,2,2021-03-21,2021-04-04,2021-04-04,user
200,563,307,1,1,2021-03-21,2021-04-04,2021-03-29,user
201,170,345,3,1,2021-03-22,2021-04-05,2021-03-31,user
202,272,520,4,2,2021-03-22,2021-04-05,2021-03-31,user
203,541,522,6,2,2021-03-22,2021-04-05,2021-04-02,user
204,622,546,6,2,2021-03-22,2021-04-05,2021-03-30,user
205,434,502,4,1,2021-03-22,2021-04-05,2021-04-04,user
206,217,577,1,1,2021-03-22,2021-04-05,2021-04-03,user
207,553,307,1,1,2021-03-23,2021-04-06,2021-04-02,user
208,206,487,1,2,2021-03-24,2021-04-07,2021-04-07,user
209,320,18,6,2,2021-03-25,2021-04-08,2021-04-07,user
210,409,378,6,1,2021-03-25,2021-04-08,2021-04-02,user
211,688,340,4,1,2021-03-26,2021-04-09,2021-04-03,user
212,666,113,5,2,2021-03-26,2021-04-09,2021-04-05,user
213,383,427,1,1,2021-03-26,2021-04-09,2021-04-08,user
214,449,598,4,2,2021-03-27,2021-04-10,2021-04-05,user
215,530,316,4,2,2021-03-28,2021-04-11,2021-04-10,user
216,463,28,4,2,2021-03-28,2021-04-11,2021-04-09,user
217,124,486,6,2,2021-03-28,2021-04-11,2021-04-11,system
218,254,272,2,2,2021-03-29,2021-04-12,2021-04-06,user
219,231,593,5,1,2021-03-30,2021-04-13,2021-04-08,user
220,66,592,4,1,2021-03-31,2021-04-14,2021-04-11,user
221,347,234,6,1,2021-03-31,2021-04-14,2021-04-09,user
222,22,53,5,2,2021-03-31,2021-04-14,2021-04-10,user
223,603,598,4,1,2021-03-31,2021-04-14,2021-04-12,user
224,568,492,6,1,2021-04-01,2021-04-15,2021-04-15,user
225,236,175,1,1,2021-04-01,2021-04-15,2021-04-14,user
226,603,537,3,1,2021-04-01,2021-04-15,2021-04-15,system
227,226,390,6,2,2021-04-01,2021-04-15,2021-04-11,user
228,8,152,2,1,2021-04-02,2021-04-16,2021-04-16,system
229,870,372,6,2,2021-04-02,2021-04-16,2021-04-11,user
230,73,249,3,2,2021-04-03,2021-04-17,2021-04-14,user
231,647,33,3,2,2021-04-03,2021-04-17,2021-04-16,user
232,61,587,5,1,2021-04-04,2021-04-18,2021-04-13,user
233,235,113,5,1,2021-04-04,2021-04-18,2021-04-12,user
234,70,196,4,2,2021-04-05,2021-04-19,2021-04-18,user
235,33,20,2,1,2021-04-06,2021-04-20,2021-04-17,user
236,339,452,2,1,2021-04-07,2021-04-21,2021-04-17,user
237,73,322,4,2,2021-04-08,2021-04-22,2021-04-21,user
238,527,429,3,2,2021-04-09,2021-04-23,2021-04-18,user
239,244,156,6,1,2021-04-09,2021-04-23,2021-04-19,user
240,286,423,3,1,2021-04-10,2021-04-24,2021-04-18,user
241,686,209,5,2,2021-04-11,2021-04-25,2021-04-22,user
242,498,421,1,1,2021-04-12,2021-04-26,2021-04-25,user
243,220,514,4,2,2021-04-12,2021-04-26,2021-04-23,user
244,553,483,3,1,2021-04-13,2021-04-27,2021-04-25,user
245,136,64,4,2,2021-04-13,2021-04-27,2021-04-23,user
246,585,142,4,2,2021-04-13,2021-04-27,2021-04-25,user
247,591,532,4,2,2021-04-14,2021-04-28,2021-04-27,user
248,485,213,3,2,2021-04-14,2021-04-28,2021-04-25,user
249,249,575,5,1,2021-04-14,2021-04-28,2021-04-23,user
250,485,333,3,1,2021-04-15,2021-04-29,2021-04-27,user
251,417,490,4,2,2021-04-15,2021-04-29,2021-04-24,user
252,195,539,5,1,2021-04-15,2021-04-29,2021-04-27,user
253,97,386,2,2,2021-04-16,2021-04-30,2021-04-26,user
254,100,322,4,1,2021-04-16,2021-04-30,2021-04-26,user
255,675,178,4,2,2021-04-17,2021-05-01,2021-04-30,user
256,442,471,3,1,2021-04-18,2021-05-02,2021-04-29,user
257,363,546,6,1,2021-04-18,2021-05-02,2021-04-28,user
258,434,351,3,2,2021-04-19,2021-05-03,2021-05-03,system
259,421,560,2,2,2021-04-20,2021-05-04,2021-05-04,user
260,479,363,3,1,2021-04-20,2021-05-04,2021-05-02,user
261,56,271,1,1,2021-04-21,2021-05-05,2021-05-05,user
262,690,496,4,1,2021-04-21,2021-05-05,2021-05-03,user
263,670,197,5,1,2021-04-21,2021-05-05,2021-04-30,user
264,662,253,1,1,2021-04-22,2021-05-06,2021-04-30,user
265,101,286,4,2,2021-04-23,2021-05-07,2021-05-05,user
266,63,572,2,1,2021-04-23,2021-05-07,2021-05-02,user
267,413,306,6,2,2021-04-23,2021-05-07,2021-05-04,user
268,348,231,3,2,2021-04-24,2021-05-08,2021-05-04,user
269,112,305,5,2,2021-04-25,2021-05-09,2021-05-09,user
270,255,296,2,1,2021-04-25,2021-05-09,2021-05-05,user
271,197,213,3,1,2021-04-26,2021-05-10,2021-05-08,user
272,195,501,3,2,2021-04-26,2021-05-10,2021-05-06,user
273,550,325,1,1,2021-04-27,2021-05-11,2021-05-08,user
274,460,492,6,2,2021-04-27,2021-05-11,2021-05-05,user
275,144,358,4,2,2021-04-27,2021-05-11,2021-05-11,system
276,433,574,4,1,2021-04-28,2021-05-12,2021-05-11,user
277,188,281,5,1,2021-04-29,2021-05-13,2021-05-11,user
278,286,295,1,1,2021-04-30,2021-05-14,2021-05-11,user
279,474,125,5,2,2021-05-01,2021-05-15,2021-05-14,user
280,256,588,6,1,2021-05-02,2021-05-16,2021-05-11,user
281,78,557,5,2,2021-05-03,2021-05-17,2021-05-11,user
282,454,389,5,2,2021-05-04,2021-05-18,2021-05-16,user
283,564,405,3,2,2021-05-04,2021-05-18,2021-05-18,system
284,101,354,6,1,2021-05-04,2021-05-18,2021-05-14,user
285,52,150,6,2,2021-05-04,2021-05-18,2021-05-18,user
286,668,298,4,1,2021-05-04,2021-05-18,2021-05-16,user
287,554,44,2,1,2021-05-05,2021-05-19,2021-05-14,user
288,16,295,1,1,2021-05-05,2021-05-19,2021-05-15,user
289,96,81,3,1,2021-05-06,2021-05-20,2021-05-19,user
290,243,355,1,2,2021-05-06,2021-05-20,2021-05-14,user
291,171,453,3,2,2021-05-07,2021-05-21,2021-05-20,user
292,417,263,5,1,2021-05-07,2021-05-21,2021-05-19,user
293,498,491,5,2,2021-05-08,2021-05-22,2021-05-22,system
294,493,220,4,1,2021-05-09,2021-05-23,2021-05-20,user
295,219,207,3,1,2021-05-09,2021-05-23,2021-05-18,user
296,411,552,6,2,2021-05-09,2021-05-23,2021-05-21,user
297,61,278,2,2,2021-05-10,2021-05-24,2021-05-23,user
298,169,576,6,2,2021-05-11,2021-05-25,2021-05-22,user
299,389,279,3,2,2021-05-11,2021-05-25,2021-05-25,system
300,3,141,3,1,2021-05-12,2021-05-26,2021-05-24,user
301,400,112,4,2,2021-05-12,2021-05-26,2021-05-21,user
302,272,246,6,1,2021-05-13,2021-05-27,2021-05-25,user
303,466,249,3,1,2021-05-13,2021-05-27,2021-05-23,user
304,293,52,4,2,2021-05-13,2021-05-27,2021-05-23,user
305,434,544,4,2,2021-05-14,2021-05-28,2021-05-25,user
306,570,232,4,1,2021-05-14,2021-05-28,2021-05-27,user
307,678,239,5,1,2021-05-15,2021-05-29,2021-05-25,user
308,499,54,6,1,2021-05-16,2021-05-30,2021-05-24,user
309,159,103,1,2,2021-05-17,2021-05-31,2021-05-25,user
310,195,424,4,2,2021-05-17,2021-05-31,2021-05-29,user
311,304,339,3,1,2021-05-18,2021-06-01,2021-05-31,user
312,223,484,4,2,2021-05-18,2021-06-01,2021-05-26,user
313,60,103,1,2,2021-05-18,2021-06-01,2021-05-26,user
314,594,141,3,2,2021-05-18,2021-06-01,2021-06-01,user
315,556,6,6,1,2021-05-19,2021-06-02,2021-05-28,user
316,63,564,6,2,2021-05-20,2021-06-03,2021-05-29,user
317,322,162,6,2,2021-05-20,2021-06-03,2021-06-03,system
318,59,417,3,2,2021-05-20,2021-06-03,2021-05-28,user
319,52,488,2,1,2021-05-20,2021-06-03,2021-05-29,user
320,599,489,3,2,2021-05-20,2021-06-03,2021-05-28,user
321,489,205,1,1,2021-05-20,2021-06-03,2021-05-31,user
322,515,295,1,2,2021-05-21,2021-06-04,2021-05-30,user
323,544,329,5,1,2021-05-22,2021-06-05,2021-05-30,user
324,162,293,5,1,2021-05-22,2021-06-05,2021-05-30,user
325,59,61,1,1,2021-05-23,2021-06-06,2021-06-04,user
326,521,92,2,1,2021-05-24,2021-06-07,2021-06-06,user
327,83,588,6,1,2021-05-25,2021-06-08,2021-06-08,user
328,191,238,4,1,2021-05-26,2021-06-09,2021-06-06,user
329,71,548,2,1,2021-05-26,2021-06-09,2021-06-08,user
330,610,39,3,2,2021-05-26,2021-06-09,2021-06-06,user
331,70,180,6,1,2021-05-27,2021-06-10,2021-06-08,user
332,692,428,2,1,2021-05-27,2021-06-10,2021-06-08,user
333,241,181,1,2,2021-05-28,2021-06-11,2021-06-10,user
334,414,38,2,1,2021-05-28,2021-06-11,2021-06-09,user
335,123,407,5,1,2021-05-28,2021-06-11,2021-06-07,user
336,584,508,4,1,2021-05-28,2021-06-11,2021-06-05,user
337,253,191,5,2,2021-05-28,2021-06-11,2021-06-07,user
338,593,297,3,2,2021-05-29,2021-06-12,2021-06-07,user
339,609,39,3,1,2021-05-29,2021-06-12,2021-06-10,user
340,41,10,4,1,2021-05-30,2021-06-13,2021-06-12,user
341,635,306,6,1,2021-05-31,2021-06-14,2021-06-08,user
342,84,582,6,1,2021-05-31,2021-06-14,2021-06-08,user
343,430,110,2,1,2021-06-01,2021-06-15,2021-06-10,user
344,674,344,2,2,2021-06-02,2021-06-16,2021-06-15,user
345,598,292,4,1,2021-06-03,2021-06-17,2021-06-14,user
346,579,466,4,1,2021-06-04,2021-06-18,2021-06-18,user
347,536,557,5,2,2021-06-04,2021-06-18,2021-06-12,user
348,324,537,3,2,2021-06-04,2021-06-18,2021-06-15,user
349,268,506,2,2,2021-06-05,2021-06-19,2021-06-19,system
350,210,138,6,2,2021-06-06,2021-06-20,2021-06-19,user
351,686,517,1,2,2021-06-07,2021-06-21,2021-06-15,user
352,322,480,6,2,2021-06-08,2021-06-22,2021-06-18,user
353,245,280,4,2,2021-06-09,2021-06-23,2021-06-21,user
354,272,198,6,1,2021-06-10,2021-06-24,2021-06-23,user
355,406,116,2,2,2021-06-10,2021-06-24,2021-06-21,user
356,135,339,3,1,2021-06-10,2021-06-24,2021-06-24,system
357,688,167,5,1,2021-06-11,2021-06-25,2021-06-21,user
358,661,470,2,1,2021-06-12,2021-06-26,2021-06-26,user
359,308,264,6,1,2021-06-12,2021-06-26,2021-06-25,user
360,469,191,5,1,2021-06-13,2021-06-27,2021-06-21,user
361,324,15,3,2,2021-06-13,2021-06-27,2021-06-27,system
362,75,346,4,1,2021-06-14,2021-06-28,2021-06-26,user
363,10,303,3,2,2021-06-14,2021-06-28,2021-06-24,user
364,470,582,6,2,2021-06-15,2021-06-29,2021-06-27,user
365,637,198,6,1,2021-06-16,2021-06-30,2021-06-24,user
366,577,180,6,2,2021-06-17,2021-07-01,2021-06-30,user
367,103,416,2,2,2021-06-18,2021-07-02,2021-06-26,user
368,76,438,6,2,2021-06-19,2021-07-03,2021-07-03,system
369,551,528,6,2,2021-06-19,2021-07-03,2021-06-29,user
370,219,336,6,1,2021-06-20,2021-07-04,2021-06-28,user
371,519,89,5,2,2021-06-21,2021-07-05,2021-06-30,user
372,272,411,3,1,2021-06-21,2021-07-05,2021-07-03,user
373,136,98,2,1,2021-06-21,2021-07-05,2021-06-29,user
374,358,190,4,1,2021-06-21,2021-07-05,2021-06-29,user
375,71,144,6,2,2021-06-22,2021-07-06,2021-07-05,user
376,251,489,3,2,2021-06-22,2021-07-06,2021-07-01,user
377,379,332,2,1,2021-06-22,2021-07-06,2021-07-04,user
378,292,255,3,2,2021-06-22,2021-07-06,2021-07-03,user
379,162,7,1,2,2021-06-23,2021-07-07,2021-07-02,user
380,449,268,4,1,2021-06-24,2021-07-08,2021-07-03,user
381,557,393,3,1,2021-06-24,2021-07-08,2021-07-06,user
382,812,480,6,2,2021-06-24,2021-07-08,2021-07-04,user
383,310,242,2,1,2021-06-25,2021-07-09,2021-07-08,user
384,627,458,2,1,2021-06-25,2021-07-09,2021-07-04,user
385,670,274,4,1,2021-06-25,2021-07-09,2021-07-07,user
386,542,338,2,2,2021-06-26,2021-07-10,2021-07-09,user
387,9,310,4,1,2021-06-26,2021-07-10,2021-07-05,user
388,684,597,3,2,2021-06-27,2021-07-11,2021-07-09,user
389,568,587,5,1,2021-06-27,2021-07-11,2021-07-10,user
390,307,12,6,2,2021-06-28,2021-07-12,2021-07-10,user
391,680,268,4,1,2021-06-29,2021-07-13,2021-07-10,user
392,107,369,3,2,2021-06-29,2021-07-13,2021-07-12,user
393,138,242,2,1,2021-06-30,2021-07-14,2021-07-08,user
394,271,64,4,1,2021-06-30,2021-07-14,2021-07-14,user
395,119,122,2,1,2021-06-30,2021-07-14,2021-07-13,user
396,110,477,3,1,2021-07-01,2021-07-15,2021-07-13,user
397,567,315,3,2,2021-07-02,2021-07-16,2021-07-12,user
398,160,164,2,1,2021-07-02,2021-07-16,2021-07-15,user
399,279,416,2,1,2021-07-03,2021-07-17,2021-07-14,user
400,289,515,5,1,2021-07-03,2021-07-17,2021-07-16,user
401,620,319,1,1,2021-07-03,2021-07-17,2021-07-16,user
402,216,121,1,2,2021-07-03,2021-07-17,2021-07-14,user
403,352,303,3,1,2021-07-03,2021-07-17,2021-07-11,user
404,209,377,5,2,2021-07-04,2021-07-18,2021-07-13,user
405,704,227,5,1,2021-07-04,2021-07-18,2021-07-18,user
406,650,225,3,2,2021-07-04,2021-07-18,2021-07-13,user
407,271,137,5,1,2021-07-04,2021-07-18,2021-07-16,user
408,518,490,4,1,2021-07-05,2021-07-19,2021-07-16,user
409,501,157,1,2,2021-07-05,2021-07-19,2021-07-17,user
410,258,466,4,2,2021-07-05,2021-07-19,2021-07-15,user
411,53,383,5,2,2021-07-06,2021-07-20,2021-07-19,user
412,95,426,6,1,2021-07-06,2021-07-20,2021-07-15,user
413,650,563,5,1,2021-07-07,2021-07-21,2021-07-19,user
414,434,483,3,1,2021-07-07,2021-07-21,2021-07-19,user
415,284,551,5,2,2021-07-08,2021-07-22,2021-07-19,user
416,46,224,2,1,2021-07-08,2021-07-22,2021-07-18,user
417,4,254,2,1,2021-07-08,2021-07-22,2021-07-18,user
418,342,84,6,2,2021-07-09,2021-07-23,2021-07-21,user
419,134,539,5,2,2021-07-09,2021-07-23,2021-07-19,user
420,653,458,2,2,2021-07-09,2021-07-23,2021-07-23,system
421,269,541,1,2,2021-07-09,2021-07-23,2021-07-19,user
